Datetime,ogn_close,ogn_volume,btc_close,btc_volume,date_only
2025-01-02 23:00:00-03:00,0.123,92386,96938.01,0,2025-01-02
2025-01-03 23:00:00-03:00,0.128,242846,98221.45,0,2025-01-03
2025-01-04 23:00:00-03:00,0.127,0,98186.05,0,2025-01-04
2025-01-05 23:00:00-03:00,0.127,263569,98780.54,2357067776,2025-01-05
2025-01-06 23:00:00-03:00,0.126,0,101724.95,0,2025-01-06
2025-01-07 23:00:00-03:00,0.111,28262,96920.13,558931968,2025-01-07
2025-01-08 23:00:00-03:00,0.109,300528,94650.48,2434740224,2025-01-08
2025-01-09 23:00:00-03:00,0.106,0,93378.05,0,2025-01-09
2025-01-10 23:00:00-03:00,0.109,0,94430.2,0,2025-01-10
2025-01-11 23:00:00-03:00,0.108,0,94555.36,0,2025-01-11
2025-01-12 23:00:00-03:00,0.103,205315,94167.98,1314394112,2025-01-12
2025-01-13 23:00:00-03:00,0.102,0,94896.38,86597632,2025-01-13
2025-01-14 23:00:00-03:00,0.106,93934,96837.91,0,2025-01-14
2025-01-15 23:00:00-03:00,0.112,122200,99612.59,0,2025-01-15
2025-01-16 23:00:00-03:00,0.112,33827,101033.92,2390626304,2025-01-16
2025-01-17 23:00:00-03:00,0.118,0,104288.03,0,2025-01-17
2025-01-18 23:00:00-03:00,0.112,42351,104780.17,1261662208,2025-01-18
2025-01-19 23:00:00-03:00,0.097,563768,101797.66,2446163968,2025-01-19
2025-01-20 23:00:00-03:00,0.098,0,102435.65,65585152,2025-01-20
2025-01-21 23:00:00-03:00,0.105,0,105709.66,0,2025-01-21
2025-01-22 23:00:00-03:00,0.098,110174,102645.41,1772613632,2025-01-22
2025-01-23 23:00:00-03:00,0.096,0,103023.95,0,2025-01-23
2025-01-24 23:00:00-03:00,0.095,0,104501.38,0,2025-01-24
2025-01-25 23:00:00-03:00,0.097,135821,104630.68,0,2025-01-25
2025-01-26 23:00:00-03:00,0.094,179344,100905.17,3164534784,2025-01-26
2025-01-27 23:00:00-03:00,0.095,0,102319.28,0,2025-01-27
2025-01-28 23:00:00-03:00,0.088,0,101733.28,0,2025-01-28
2025-01-29 23:00:00-03:00,0.092,49896,104486.07,574758912,2025-01-29
2025-01-30 23:00:00-03:00,0.094,0,104419.28,0,2025-01-30
2025-01-31 23:00:00-03:00,0.097,147077,102448.18,0,2025-01-31
2025-02-01 23:00:00-03:00,0.089,0,100527.88,486780928,2025-02-01
2025-02-02 23:00:00-03:00,0.064,1748132,93667.09,12517908480,2025-02-02
2025-02-03 23:00:00-03:00,0.078,0,100919.26,0,2025-02-03
2025-02-04 23:00:00-03:00,0.074,136167,98043.02,562626560,2025-02-04
2025-02-05 23:00:00-03:00,0.074,0,97388.24,0,2025-02-05
2025-02-06 23:00:00-03:00,0.071,135877,97516.82,1750650880,2025-02-06
2025-02-07 23:00:00-03:00,0.069,0,96781.95,0,2025-02-07
2025-02-08 23:00:00-03:00,0.075,234782,96782.12,0,2025-02-08
2025-02-09 23:00:00-03:00,0.073,0,95813.84,3027441664,2025-02-09
2025-02-10 23:00:00-03:00,0.079,0,97788.66,0,2025-02-10
2025-02-11 23:00:00-03:00,0.078,0,95481.81,0,2025-02-11
2025-02-12 23:00:00-03:00,0.085,0,97478.36,0,2025-02-12
2025-02-13 23:00:00-03:00,0.081,0,96611.66,0,2025-02-13
2025-02-14 23:00:00-03:00,0.082,0,97839.38,0,2025-02-14
2025-02-15 23:00:00-03:00,0.079,0,97534.62,645299200,2025-02-15
2025-02-16 23:00:00-03:00,0.08,71159,96187.44,19106816,2025-02-16
2025-02-17 23:00:00-03:00,0.078,0,96054.39,685152256,2025-02-17
2025-02-18 23:00:00-03:00,0.075,657249,95735.45,1045356544,2025-02-18
2025-02-19 23:00:00-03:00,0.077,0,97201.87,0,2025-02-19
2025-02-20 23:00:00-03:00,0.078,37983,98160.89,472440832,2025-02-20
2025-02-21 23:00:00-03:00,0.076,0,96315.79,0,2025-02-21
2025-02-22 23:00:00-03:00,0.08,0,96428.85,0,2025-02-22
2025-02-23 23:00:00-03:00,0.081,326988,95807.92,1310318592,2025-02-23
2025-02-24 23:00:00-03:00,0.071,209524,92326.17,992305152,2025-02-24
2025-02-25 23:00:00-03:00,0.072,0,88931.64,0,2025-02-25
2025-02-26 23:00:00-03:00,0.071,136585,84233.27,0,2025-02-26
2025-02-27 23:00:00-03:00,0.067,643546,80687.6,5966905344,2025-02-27
2025-02-28 23:00:00-03:00,0.071,0,85215.45,0,2025-02-28
2025-03-01 23:00:00-03:00,0.069,0,85671.16,0,2025-03-01
2025-03-02 23:00:00-03:00,0.074,184768,93272.41,390270976,2025-03-02
2025-03-03 20:00:00-03:00,0.067,0,86016.41,0,2025-03-03
