Datetime,ogn_open,ogn_high,ogn_low,ogn_close,ogn_volume,btc_open,btc_high,btc_low,btc_close,btc_volume,pct_change_hour,hour_movement,dummy_hour,pct_change_daily,daily_movement,dummy_daily,pct_change_weekly,weekly_movement,dummy_weekly,pct_change_monthly,monthly_movement,dummy_monthly,pct_change_hour_btc,btc_hour_movement,dummy_hour_btc,pct_change_daily_btc,btc_daily_movement,dummy_daily_btc,pct_change_weekly_btc,btc_weekly_movement,dummy_weekly_btc,pct_change_monthly_btc,btc_monthly_movement,dummy_monthly_btc,date_only
2025-01-04 21:00:00-03:00,0.129,0.129,0.127,0.127,0,98211.27,98257.19,98149.66,98252.0,0,,stable,0,,stable,0,,stable,0,,stable,0,,stable,0,,stable,0,,stable,0,,stable,0,2025-01-04
2025-01-04 21:15:00-03:00,0.127,0.128,0.127,0.128,126752,98264.55,98333.82,98206.62,98232.11,17868800,1.0,stable,0,,stable,0,,stable,0,,stable,0,-0.02,stable,0,,stable,0,,stable,0,,stable,0,2025-01-04
2025-01-04 21:30:00-03:00,0.128,0.128,0.128,0.128,11177,98244.95,98315.22,98239.52,98249.38,0,0.0,stable,0,,stable,0,,stable,0,,stable,0,0.02,stable,0,,stable,0,,stable,0,,stable,0,2025-01-04
2025-01-04 21:45:00-03:00,0.128,0.128,0.127,0.127,20694,98244.32,98262.93,98203.13,98221.91,0,-1.0,stable,0,,stable,0,,stable,0,,stable,0,-0.03,stable,0,,stable,0,,stable,0,,stable,0,2025-01-04
2025-01-04 22:00:00-03:00,0.127,0.127,0.127,0.127,28604,98216.66,98275.88,98151.23,98275.88,0,0.0,stable,0,,stable,0,,stable,0,,stable,0,0.05,stable,0,,stable,0,,stable,0,,stable,0,2025-01-04
2025-01-04 22:15:00-03:00,0.127,0.127,0.127,0.127,26184,98264.82,98312.3,98218.19,98218.19,0,0.0,stable,0,,stable,0,,stable,0,,stable,0,-0.06,stable,0,,stable,0,,stable,0,,stable,0,2025-01-04
2025-01-04 22:30:00-03:00,0.127,0.127,0.126,0.126,0,98204.5,98204.5,98073.59,98110.41,0,-1.0,stable,0,,stable,0,,stable,0,,stable,0,-0.11,stable,0,,stable,0,,stable,0,,stable,0,2025-01-04
2025-01-04 22:45:00-03:00,0.127,0.127,0.127,0.127,136,98132.98,98132.98,98028.42,98077.84,0,1.0,stable,0,,stable,0,,stable,0,,stable,0,-0.03,stable,0,,stable,0,,stable,0,,stable,0,2025-01-04
2025-01-04 23:00:00-03:00,0.127,0.127,0.127,0.127,0,98103.53,98171.85,98103.53,98163.59,0,0.0,stable,0,,stable,0,,stable,0,,stable,0,0.09,stable,0,,stable,0,,stable,0,,stable,0,2025-01-04
2025-01-04 23:15:00-03:00,0.127,0.127,0.127,0.127,8242,98166.55,98186.52,98156.86,98173.23,3538944,0.0,stable,0,,stable,0,,stable,0,,stable,0,0.01,stable,0,,stable,0,,stable,0,,stable,0,2025-01-04
2025-01-04 23:30:00-03:00,0.127,0.127,0.126,0.126,0,98164.82,98164.82,98108.08,98121.62,1695744,-1.0,stable,0,,stable,0,,stable,0,,stable,0,-0.05,stable,0,,stable,0,,stable,0,,stable,0,2025-01-04
2025-01-04 23:45:00-03:00,0.126,0.127,0.126,0.127,0,98131.77,98186.05,98131.77,98186.05,0,1.0,stable,0,,stable,0,,stable,0,,stable,0,0.07,stable,0,,stable,0,,stable,0,,stable,0,2025-01-04
2025-01-05 00:00:00-03:00,0.127,0.127,0.127,0.127,39838,98208.46,98208.46,98155.02,98173.5,0,0.0,stable,0,0.0,stable,0,,stable,0,,stable,0,-0.01,stable,0,-0.01,stable,0,,stable,0,,stable,0,2025-01-05
2025-01-05 00:15:00-03:00,0.127,0.127,0.127,0.127,0,98161.42,98165.45,98103.0,98132.52,0,0.0,stable,0,0.0,stable,0,,stable,0,,stable,0,-0.04,stable,0,-0.05,stable,0,,stable,0,,stable,0,2025-01-05
2025-01-05 00:30:00-03:00,0.127,0.127,0.127,0.127,4652,98133.36,98165.44,98097.59,98097.59,6369280,0.0,stable,0,0.0,stable,0,,stable,0,,stable,0,-0.04,stable,0,-0.09,stable,0,,stable,0,,stable,0,2025-01-05
2025-01-05 00:45:00-03:00,0.127,0.127,0.126,0.126,14303,98099.32,98134.3,98068.16,98134.3,1583104,-1.0,stable,0,-0.79,stable,0,,stable,0,,stable,0,0.04,stable,0,-0.05,stable,0,,stable,0,,stable,0,2025-01-05
2025-01-05 01:00:00-03:00,0.126,0.127,0.126,0.127,80658,98143.98,98331.48,98143.98,98331.48,19550208,1.0,stable,0,0.0,stable,0,,stable,0,,stable,0,0.2,stable,0,0.15,stable,0,,stable,0,,stable,0,2025-01-05
